st_mun_id,cases,death,covid19,coviddeath,male,indigenous,usmer,hospital,edad,state,class
16097,3,0,0,0,3,0,1,3,72.666664,16,1
16098,15,0,5,0,9,0,2,3,49.133335,16,1
16099,12,0,4,0,5,0,0,1,42.166668,16,1
16100,17,2,8,2,8,3,10,4,42.411766,16,3
16101,17,0,0,0,6,0,1,0,51.705883,16,1
16102,196,16,24,3,92,3,151,67,41.964287,16,3
16103,10,1,6,1,7,0,0,2,46.200001,16,3
16104,3,0,0,0,1,0,0,0,25.333334,16,1
16105,8,0,0,0,4,0,3,4,39.125,16,1
16106,34,1,5,0,11,0,4,3,31.970589,16,2
16107,24,1,0,0,10,0,1,13,50.375,16,2
16108,128,7,12,2,62,4,13,39,43.25,16,3
16109,9,0,3,0,4,0,2,2,42.111111,16,1
16110,49,1,14,0,24,0,8,7,29.918367,16,2
16111,1,0,0,0,1,0,1,1,78,16,1
16112,97,8,18,3,40,1,71,43,42.505154,16,3
16113,21,3,3,2,9,0,0,3,49.42857,16,3
17001,7,0,2,0,3,0,5,4,49.142857,17,1
17002,11,2,7,2,6,0,7,8,55.454544,17,3
17003,16,5,2,1,8,0,14,14,50.4375,17,3
17004,45,1,20,1,17,0,15,14,44.311111,17,3
17005,19,0,4,0,12,0,1,4,43.578949,17,1
17006,221,20,117,18,115,4,86,107,48.633484,17,3
17007,695,49,338,42,383,1,501,325,46.492085,17,3
17008,82,3,30,3,37,0,56,39,48.57317,17,3
17009,23,4,8,3,13,0,19,10,48.04348,17,3
17010,5,0,3,0,2,0,3,5,64.199997,17,1
17011,182,8,74,5,102,0,159,94,47.912086,17,3
17012,100,10,60,10,56,1,53,53,50.34,17,3
17013,4,0,2,0,2,0,2,2,36.75,17,1
17014,8,1,3,1,4,0,4,4,47.25,17,3
17015,21,1,12,1,18,1,4,15,50.285713,17,3
17016,15,1,11,1,10,0,2,12,51.333332,17,3
17017,95,7,48,7,51,7,63,64,52.63158,17,3
17018,100,15,49,15,55,5,61,45,44.279999,17,3
17019,29,3,21,3,22,0,19,24,53,17,3
17020,25,2,7,1,16,0,12,9,46.439999,17,3
17021,8,0,3,0,6,0,4,4,40.125,17,1
17022,9,2,8,2,8,0,4,5,50.666668,17,3
17023,4,0,1,0,1,0,2,1,26.75,17,1
17024,50,5,21,5,20,0,12,22,43,17,3
17025,35,4,15,3,16,0,11,19,47.42857,17,3
17026,11,0,7,0,7,0,5,6,46.18182,17,1
17027,5,0,3,0,3,0,2,3,45.400002,17,1
17028,80,8,39,7,43,0,65,61,51.137501,17,3
17029,51,1,23,1,26,1,29,26,43.392159,17,3
17030,35,3,18,3,19,0,8,15,52.799999,17,3
17031,56,6,20,5,32,0,25,26,40.535713,17,3
17032,2,0,0,0,2,0,0,1,50.5,17,1
17033,2,0,1,0,1,0,1,0,28,17,1
17056,1,0,1,0,0,0,1,1,34,17,1
17063,1,0,1,0,0,0,0,0,37,17,1
18001,15,2,3,2,6,0,8,8,61.333332,18,3
18002,4,0,0,0,3,0,4,2,60.75,18,1
18004,31,2,7,0,21,0,24,23,59.354839,18,2
18005,1,0,0,0,0,0,0,1,64,18,1
18006,12,1,2,0,9,0,10,7,48.583332,18,2
18007,11,3,9,3,8,0,11,11,67.727272,18,3
18008,50,1,13,1,23,0,42,13,48.740002,18,3
18009,1,0,0,0,0,0,1,1,42,18,1
18010,26,4,3,1,4,1,24,14,48.153847,18,3
18011,5,0,1,0,4,0,4,3,42.200001,18,1
18012,8,0,2,0,2,0,2,2,38.5,18,1
18013,4,0,0,0,3,0,4,4,64.75,18,1
18014,8,1,0,0,4,0,5,5,58.875,18,2
18015,73,7,22,3,38,2,70,22,42.876713,18,3
18016,20,1,3,1,9,1,11,14,53.950001,18,3
18017,625,9,174,7,280,2,495,98,40.7216,18,3
18018,19,3,10,3,9,0,16,8,50.578949,18,3
18019,4,1,1,0,1,1,3,1,57,18,2
18020,114,6,25,3,46,0,2,35,41.219299,18,3
19002,4,0,0,0,3,0,3,0,63,19,1
19003,2,0,0,0,1,0,1,0,25,19,1
19004,54,1,5,1,25,0,44,7,35.296295,19,3
19005,13,0,2,0,9,0,11,7,56.076923,19,1
19006,990,7,96,4,553,4,396,157,38.074749,19,3
19007,10,0,0,0,4,0,10,2,54.599998,19,1
19008,1,0,0,0,0,0,1,1,3,19,1
19009,68,4,6,2,35,1,35,24,43.10294,19,3
19010,67,0,7,0,39,1,24,8,34.731342,19,1
19011,14,0,0,0,9,0,9,6,38.785713,19,1
19012,40,1,3,0,21,0,24,9,37.950001,19,2
19013,10,0,2,0,6,0,8,2,50.299999,19,1
19014,8,0,0,0,2,0,8,4,49.375,19,1
19015,5,0,0,0,4,0,5,3,60,19,1
19016,1,0,0,0,1,0,0,1,46,19,1
19017,12,0,0,0,4,1,10,3,30.583334,19,1
19018,270,3,26,1,146,4,177,32,38.288887,19,3
19019,395,3,50,2,212,1,159,11,40.964558,19,3
